name,1890,1900,1910,1930
Alabama,384,,,6
Alaska,,,,
Arizona,,,,46198
Arkansas,32,,,36
California,5268,1519,988,9010
Colorado,1051,597,452,942
Connecticut,,,,6
Delaware,,,,
Florida,,,,20
Georgia,,,,60
Hawaii,,,,
Idaho,4163,2297,2154,3496
Illinois,1,,,266
Indiana,,,,23
Iowa,401,,,519
Kansas,1012,,,1501
Kentucky,,,,14
Louisiana,1,,,
Maine,,,,5
Maryland,,,,4
Massachusetts,4,,,16
Michigan,1,,,273
Minnesota,8457,1768,1332,12370
Mississippi,,,,1667
Missouri,1,,,257
Montana,10765,10746,9715,12877
Nebraska,3746,,,2840
Nevada,1594,1665,1582,4668
New Hampshire,,,,1
New Jersey,,,,15
New Mexico,,,,27335
New York,5321,4711,4680,99
North Carolina,2,,,3002
North Dakota,8264,4692,2653,7505
Ohio,13,,,64
Oklahoma,,,,13818
Oregon,3937,,,3407
Pennsylvania,99,,,51
Rhode Island,,,,
South Carolina,,,,5
South Dakota,19792,10932,8212,19844
Tennessee,,,,59
Texas,4,,,114
Utah,,1472,1487,2106
Vermont,,,,
Virginia,,,,22
Washington,7842,2531,1856,10973
West Virginia,,,,6
Wisconsin,6450,1637,1007,7235
Wyoming,1850,,1307,1956
